,Physician_Name,NPI,Physician_Specialty,Company,Nature_of_Payment,Therapeutic_Area,Drug,Total_Payment,Number_of_Payments
50,"AKHTAR, YASIR",1013001098.0,CARDIOVASCULAR DISEASE,"E.R. SQUIBB & SONS, L.L.C.",FOOD AND BEVERAGE,CARDIOVASCULAR,ELIQUIS,96.17,6
51,"AKINLUYI, FUNSHO",1104200948.0,DENTIST,"ORAPHARMA, A DIVISION OF BAUSCH HEALTH US, LLC",FOOD AND BEVERAGE,DENTAL AND ORAL HEALTH,ARESTIN,16.63,1
52,"AKINSELOYIN, OLUBISI",1619309010.0,HOSPITALIST,ABBVIE INC.,FOOD AND BEVERAGE,ANTI-INFECTIVE,AVYCAZ,26.71,1
53,"AKINSELOYIN, OLUBISI",1619309010.0,HOSPITALIST,ABBVIE INC.,FOOD AND BEVERAGE,ANTI-INFECTIVE,DALVANCE,27.54,1
54,"AKINSELOYIN, OLUBISI",1619309010.0,HOSPITALIST,"JANSSEN PHARMACEUTICALS, INC",FOOD AND BEVERAGE,CARDIOVASCULAR & METABOLISM,XARELTO,14.21,1
55,"AKINSETE, OMOBOSOLA",1891749214.0,INFECTIOUS DISEASE,"INSMED, INC.",EDUCATION,RESPIRATORY,ARIKAYCE,16.24,1
56,"AKORNOR, JOSEPH",1497731913.0,UROLOGY,"ACCORD HEALTHCARE, INC.",FOOD AND BEVERAGE,ONCOLOGY,CAMCEVI,49.849999999999994,3
57,"AKORNOR, JOSEPH",1497731913.0,UROLOGY,"UROGEN PHARMA, INC.",FOOD AND BEVERAGE,UROTHELIAL CANCER,JELMYTO,23.83,1
58,"AKSAMIT, TIMOTHY",1184694770.0,PULMONARY DISEASE,"INSMED, INC.",EDUCATION,RESPIRATORY,ARIKAYCE,0.94,1
59,"AKSOY, KATIE",1164092383.0,OPTOMETRIST,"OYSTER POINT PHARMA, INC.",FOOD AND BEVERAGE,DRY EYE,TYRVAYA,12.98,1
60,"AL BADARIN, FIRAS",1093925737.0,CARDIOVASCULAR DISEASE,PFIZER INC.,FOOD AND BEVERAGE,CARDIOVASCULAR,VYNDAMAX,101.31,1
61,"AL WARD, RUAA",1629482716.0,HOSPITALIST,"IPSEN BIOPHARMACEUTICALS, INC",FOOD AND BEVERAGE,ONCOLOGY/ENDOCRINOLOGY,SOMATULINE DEPOT,14.94,1
62,"AL WARD, RUAA",1629482716.0,HOSPITALIST,NOVO NORDISK INC,FOOD AND BEVERAGE,OBESITY,SAXENDA,20.15,1
63,"ALAPATI, JAYASRI",1043565757.0,ADDICTION MEDICINE,CELGENE CORPORATION,FOOD AND BEVERAGE,NEUROSCIENCE,ZEPOSIA,20.7,1
64,"ALAPATI, JAYASRI",1043565757.0,NEUROLOGY,AMNEAL PHARMACEUTICALS LLC,FOOD AND BEVERAGE,NEUROLOGY,RYTARY,16.36,1
65,"ALBERS, MITCHELL",1407806763.0,OPTOMETRIST,ABBVIE INC.,FOOD AND BEVERAGE,OPHTHALMOLOGY,VUITY,13.55,1
66,"ALBERS, MITCHELL",1407806763.0,OPTOMETRIST,SUN PHARMACEUTICAL INDUSTRIES INC.,FOOD AND BEVERAGE,OPHTHALMOLOGY,CEQUA,12.38,1
67,"ALBERTIN, CASSANDRA",1457693293.0,OBSTETRICS & GYNECOLOGY,BAYER HEALTHCARE PHARMACEUTICALS INC.,FOOD AND BEVERAGE,WOMENS HEALTH,SKYLA,13.52,1
68,"ALBERTIN, CASSANDRA",1457693293.0,OBSTETRICS & GYNECOLOGY,"EXELTIS, USA INC.",FOOD AND BEVERAGE,ORAL CONTRACEPTIVE,SLYND,12.05,1
69,"ALBERTS, STEVEN",1780660209.0,MEDICAL ONCOLOGY,MERCK SHARP & DOHME LLC,CONSULTING FEE,ONCOLOGY,LENVIMA,2750.0,3
70,"ALFONSO, ABEL",1174617740.0,"ENDOCRINOLOGY, DIABETES & METABOLISM","ANTARES PHARMA, INC.",FOOD AND BEVERAGE,NOCTURIA DUE TO NOCTURNAL POLYURIA IN ADULTS,NOCDURNA,14.02,1
71,"ALFONSO, ABEL",1174617740.0,"ENDOCRINOLOGY, DIABETES & METABOLISM","LILLY USA, LLC",FOOD AND BEVERAGE,DIABETES,HUMULIN,15.43,1
72,"ALFONSO, ABEL",1174617740.0,"ENDOCRINOLOGY, DIABETES & METABOLISM","LILLY USA, LLC",FOOD AND BEVERAGE,DIABETES,MOUNJARO,12.65,1
73,"ALFONSO, ABEL",1174617740.0,"ENDOCRINOLOGY, DIABETES & METABOLISM",NOVO NORDISK INC,FOOD AND BEVERAGE,DIABETES,RYBELSUS,28.71,2
74,"ALFONSO, ABEL",1174617740.0,"ENDOCRINOLOGY, DIABETES & METABOLISM",ULTRAGENYX PHARMACEUTICAL INC.,FOOD AND BEVERAGE,XLH METABOLIC BONE DISORDER,CRYSVITA,13.12,1
75,"ALI, MARYYAM",1518386093.0,NEPHROLOGY,"AURINIA PHARMA U.S., INC.",FOOD AND BEVERAGE,LUPUS NEPHRITIS,LUPKYNIS,14.11,1
76,"ALI, NORA",1184159238.0,DERMATOLOGY,"JANSSEN BIOTECH, INC.",FOOD AND BEVERAGE,IMMUNOLOGY,TREMFYA,14.95,1
77,"ALI, SADIA",1164632766.0,INFECTIOUS DISEASE,"INSMED, INC.",EDUCATION,RESPIRATORY,ARIKAYCE,16.24,1
78,"ALJABERI, LOAY",1518512680.0,SURGERY,"JANSSEN PHARMACEUTICALS, INC",FOOD AND BEVERAGE,CARDIOVASCULAR & METABOLISM,XARELTO,13.77,1
79,"ALKILANI, SUHAIL",1942514666.0,FAMILY MEDICINE,ABBVIE INC.,FOOD AND BEVERAGE,NEUROSCIENCE,QULIPTA,60.870000000000005,2
80,"ALKILANI, SUHAIL",1942514666.0,FAMILY MEDICINE,ABBVIE INC.,FOOD AND BEVERAGE,NEUROSCIENCE,UBRELVY,64.86,2
81,"ALKILANI, SUHAIL",1942514666.0,FAMILY MEDICINE,ASTRAZENECA PHARMACEUTICALS LP,FOOD AND BEVERAGE,RESPIRATORY,BREZTRI,93.86,1
82,"ALKILANI, SUHAIL",1942514666.0,FAMILY MEDICINE,"E.R. SQUIBB & SONS, L.L.C.",FOOD AND BEVERAGE,NEUROSCIENCE,ZEPOSIA,17.95,1
83,"ALKILANI, SUHAIL",1942514666.0,FAMILY MEDICINE,HARMONY BIOSCIENCES LLC,FOOD AND BEVERAGE,NEUROLOGICAL DISORDERS,WAKIX,118.22,3
84,"ALKILANI, SUHAIL",1942514666.0,FAMILY MEDICINE,JAZZ PHARMACEUTICALS INC.,FOOD AND BEVERAGE,NEUROLOGY,SUNOSI,38.49,1
85,"ALKILANI, SUHAIL",1942514666.0,FAMILY MEDICINE,JAZZ PHARMACEUTICALS INC.,FOOD AND BEVERAGE,NEUROLOGY,XYWAV,30.46,1
86,"ALKILANI, SUHAIL",1942514666.0,FAMILY MEDICINE,NOVARTIS PHARMACEUTICALS CORPORATION,FOOD AND BEVERAGE,NEUROSCIENCE,KESIMPTA,23.22,1
87,"ALKURDY, NIDAL",1548362114.0,ADDICTION MEDICINE,CELGENE CORPORATION,FOOD AND BEVERAGE,NEUROSCIENCE,ZEPOSIA,22.95,1
88,"ALKURDY, NIDAL",1548362114.0,NEUROLOGY,ACADIA PHARMACEUTICALS INC,FOOD AND BEVERAGE,PARKINSONS DISEASE PSYCHOSIS,NUPLAZID,12.82,1
89,"ALKURDY, NIDAL",1548362114.0,NEUROLOGY,"CATALYST PHARMACEUTICALS, INC.",FOOD AND BEVERAGE,NEUROLOGY,FIRDAPSE,29.48,1
90,"ALKURDY, NIDAL",1548362114.0,NEUROLOGY,"CORIUM, LLC",FOOD AND BEVERAGE,TREATMENT OF DEMENTIA OF THE ALZHEIMERS TYPE,ADLARITY,16.4,1
91,"ALKURDY, NIDAL",1548362114.0,NEUROLOGY,IMPEL PHARMACEUTICALS INC.,FOOD AND BEVERAGE,MIGRAINE,TRUDHESA,17.46,1
92,"ALKURDY, NIDAL",1548362114.0,NEUROLOGY,"JANSSEN PHARMACEUTICALS, INC",FOOD AND BEVERAGE,NEUROSCIENCE,PONVORY,17.38,1
93,"ALKURDY, NIDAL",1548362114.0,NEUROLOGY,"KYOWA KIRIN, INC.",FOOD AND BEVERAGE,ADENOSINE A2A RECEPTORS,NOURIANZ,31.86,2
94,"ALKURDY, NIDAL",1548362114.0,NEUROLOGY,"LILLY USA, LLC",FOOD AND BEVERAGE,NEUROSCIENCE,EMGALITY,11.94,1
95,"ALKURDY, NIDAL",1548362114.0,NEUROLOGY,"MITSUBISHI TANABE PHARMA AMERICA, INC.",FOOD AND BEVERAGE,AMYOTROPHIC LATERAL SCLEROSIS,RADICAVA,13.59,1
96,"ALKURDY, NIDAL",1548362114.0,NEUROLOGY,NOVARTIS PHARMACEUTICALS CORPORATION,FOOD AND BEVERAGE,NEUROSCIENCE,KESIMPTA,15.24,1
97,"ALKURDY, NIDAL",1548362114.0,NEUROLOGY,"TEVA PHARMACEUTICALS USA, INC.",FOOD AND BEVERAGE,CENTRAL NERVOUS SYSTEM,AUSTEDO,18.17,1
98,"ALKURDY, NIDAL",1548362114.0,NEUROLOGY,UPSHER-SMITH LABORATORIES LLC,FOOD AND BEVERAGE,NEUROLOGY,ZEMBRACE SYMTOUCH,37.98,1
99,"ALLAWI, AHMED",1245768365.0,COLON & RECTAL SURGERY,"BOEHRINGER INGELHEIM PHARMACEUTICALS, INC.",FOOD AND BEVERAGE,DIABETES,JARDIANCE,32.5,1
100,"ALLEN, ALINA",1467636902.0,GASTROENTEROLOGY,"GILEAD SCIENCES, INC.",FOOD AND BEVERAGE,HCV,EPCLUSA,99.29,1
101,"ALLEN, JEFFERY",1982894010.0,NEUROLOGY,ALNYLAM PHARMACEUTICALS INC.,"COMPENSATION FOR SERVICES OTHER THAN CONSULTING, INCLUDING SERVING AS FACULTY OR AS A SPEAKER AT A VENUE OTHER THAN A CONTINUING EDUCATION PROGRAM",GENETIC DISEASE,AMVUTTRA,1545.0,2
102,"ALLEN, JEFFERY",1982894010.0,NEUROLOGY,ALNYLAM PHARMACEUTICALS INC.,"COMPENSATION FOR SERVICES OTHER THAN CONSULTING, INCLUDING SERVING AS FACULTY OR AS A SPEAKER AT A VENUE OTHER THAN A CONTINUING EDUCATION PROGRAM",GENETIC DISEASE,ONPATTRO,2060.0,1
103,"ALLEN, JEFFERY",1982894010.0,NEUROLOGY,"ARGENX US, INC.","COMPENSATION FOR SERVICES OTHER THAN CONSULTING, INCLUDING SERVING AS FACULTY OR AS A SPEAKER AT A VENUE OTHER THAN A CONTINUING EDUCATION PROGRAM",IMMUNOLOGY,VYVGART,13500.0,5
104,"ALLEN, JEFFERY",1982894010.0,NEUROLOGY,"ARGENX US, INC.",CONSULTING FEE,IMMUNOLOGY,VYVGART,950.0,1
105,"ALLEN, JEFFERY",1982894010.0,NEUROLOGY,"ARGENX US, INC.",FOOD AND BEVERAGE,IMMUNOLOGY,VYVGART,191.59,5
106,"ALLEN, JEFFERY",1982894010.0,NEUROLOGY,"ARGENX US, INC.",TRAVEL AND LODGING,IMMUNOLOGY,VYVGART,3154.95,10
107,"ALLEN, JOSEPH",1023390499.0,OPTOMETRIST,ABBVIE INC.,CONSULTING FEE,OPHTHALMOLOGY,VUITY,400.0,1
108,"ALLEN, JOSEPH",1023390499.0,OPTOMETRIST,ALCON VISION LLC,CONSULTING FEE,OPHTHALMOLOGY,SYSTANE,2850.0,2
109,"ALLEN, JOSEPH",1023390499.0,OPTOMETRIST,ALCON VISION LLC,FOOD AND BEVERAGE,OPHTHALMOLOGY,SIMBRINZA,103.21,1
110,"ALLEN, JOSEPH",1023390499.0,OPTOMETRIST,"ALLERGAN, INC.",FOOD AND BEVERAGE,OPHTHALMOLOGY,VUITY,27.42,1
111,"ALLEN, JOSEPH",1023390499.0,OPTOMETRIST,"OYSTER POINT PHARMA, INC.",CONSULTING FEE,DRY EYE,TYRVAYA,640.0,1
112,"ALLEN, JOSEPH",1023390499.0,OPTOMETRIST,"OYSTER POINT PHARMA, INC.",FOOD AND BEVERAGE,DRY EYE,TYRVAYA,95.25,1
113,"ALLEN, JOSEPH",1023390499.0,OPTOMETRIST,SUN PHARMACEUTICAL INDUSTRIES INC.,FOOD AND BEVERAGE,OPHTHALMOLOGY,CEQUA,229.41,2
114,"ALM, MATTHEW",1861596140.0,DENTIST,ELEVATE ORAL CARE,FOOD AND BEVERAGE,DENTISTRY,FLUORIMAX 5000,22.02,1
115,"ALREHAILI, GHADAH",1629432406.0,PULMONARY DISEASE,"BOEHRINGER INGELHEIM PHARMACEUTICALS, INC.",FOOD AND BEVERAGE,RESPIRATORY,OFEV,130.77,1
116,"ALREHAILI, GHADAH",1629432406.0,PULMONARY DISEASE,UNITED THERAPEUTICS CORPORATION,FOOD AND BEVERAGE,PAH,TYVASO,122.79,1
117,"ALSUMRAIN, MOHAMMAD",1639327885.0,PULMONARY DISEASE,"INSMED, INC.",EDUCATION,RESPIRATORY,ARIKAYCE,32.48,2
118,"ALTMAN, DENH",1629323241.0,OPTOMETRIST,"OYSTER POINT PHARMA, INC.",FOOD AND BEVERAGE,DRY EYE,TYRVAYA,15.96,1
119,"ALVARADO, ALICIA",1295185122.0,CORNEAL AND CONTACT MANAGEMENT,"OYSTER POINT PHARMA, INC.",FOOD AND BEVERAGE,DRY EYE,TYRVAYA,14.81,1
120,"AMATRUDA, THOMAS",1427068618.0,MEDICAL ONCOLOGY,"E.R. SQUIBB & SONS, L.L.C.",EDUCATION,ONCOLOGY,OPDUALAG,13.45,1
121,"AMBUR, JENNIFER",1215003306.0,OBSTETRICS & GYNECOLOGY,MYOVANT SCIENCES INC.,FOOD AND BEVERAGE,HORMONE THERAPY,MYFEMBREE,28.689999999999998,2
122,"AMIN, BIPINKUMAR",1568415628.0,INTERNAL MEDICINE,GENZYME CORPORATION,FOOD AND BEVERAGE,ONCOLOGY,JEVTANA,15.06,1
123,"ANAND, INDERJIT",1871514513.0,CARDIOVASCULAR DISEASE,BOEHRINGER INGELHEIM INTERNATIONAL GMBH,CONSULTING FEE,DIABETES,TRADJENTA,95.0,1
124,"ANANDAN, CHARENYA",1396009890.0,NEUROLOGY,ACADIA PHARMACEUTICALS INC,FOOD AND BEVERAGE,PARKINSONS DISEASE PSYCHOSIS,NUPLAZID,134.71,4
125,"ANDERSEN, ASHLEY",1912351610.0,OBSTETRICS & GYNECOLOGY,ABBVIE INC.,FOOD AND BEVERAGE,WOMENS HEALTH,ORILISSA,14.21,1
126,"ANDERSEN, ASHLEY",1912351610.0,OBSTETRICS & GYNECOLOGY,BAYER HEALTHCARE PHARMACEUTICALS INC.,FOOD AND BEVERAGE,WOMENS HEALTH,MIRENA,17.09,1
127,"ANDERSEN, ASHLEY",1912351610.0,OBSTETRICS & GYNECOLOGY,DAIICHI SANKYO INC.,FOOD AND BEVERAGE,IRON DEFICIENCY ANEMIA,INJECTAFER,29.69,1
128,"ANDERSON, BRADLEY",1649533878.0,GASTROENTEROLOGY,"QOL MEDICAL, LLC",FOOD AND BEVERAGE,THERAPY FOR CSID,SUCRAID,33.28,2
129,"ANDERSON, BRADLEY",1649533878.0,GASTROENTEROLOGY,"SALIX PHARMACEUTICALS, A DIVISION OF BAUSCH HEALTH US, LLC",FOOD AND BEVERAGE,GASTROENTEROLOGY,TRULANCE,171.09,12
130,"ANDERSON, BRADLEY",1649533878.0,GASTROENTEROLOGY,"SALIX PHARMACEUTICALS, A DIVISION OF BAUSCH HEALTH US, LLC",FOOD AND BEVERAGE,GASTROENTEROLOGY,XIFAXAN,158.54,9
131,"ANDERSON, CRAIG",1437167020.0,PEDIATRICS,"NEURELIS, INC.",FOOD AND BEVERAGE,EPILEPSY,VALTOCO,16.75,1
132,"ANDERSON, DANIEL",1356320675.0,FAMILY MEDICINE,MERCK SHARP & DOHME LLC,FOOD AND BEVERAGE,CARDIOVASCULAR,VERQUVO,11.72,1
133,"ANDERSON, DANIEL",1811064876.0,INFECTIOUS DISEASE,"INSMED, INC.",EDUCATION,RESPIRATORY,ARIKAYCE,32.48,2
134,"ANDERSON, GREGORY",1003295593.0,ORTHOPAEDIC SURGERY,"HERON THERAPEUTICS, INC.",FOOD AND BEVERAGE,POSTOPERATIVE PAIN,ZYNRELEF,17.99,1
135,"ANDERSON, JADE",1720098064.0,MEDICAL ONCOLOGY,"E.R. SQUIBB & SONS, L.L.C.",EDUCATION,ONCOLOGY,OPDUALAG,13.96,1
136,"ANDERSON, JAMES",1700820974.0,INTERVENTIONAL PAIN MEDICINE,ABBVIE INC.,FOOD AND BEVERAGE,NEUROSCIENCE,QULIPTA,20.32,1
137,"ANDERSON, JEFFREY",1427044916.0,OPTOMETRIST,"ALLERGAN, INC.",FOOD AND BEVERAGE,OPHTHALMOLOGY,VUITY,30.65,1
138,"ANDERSON, JEFFREY",1427044916.0,OPTOMETRIST,NOVARTIS PHARMACEUTICALS CORPORATION,FOOD AND BEVERAGE,OPHTHALMOLOGY,XIIDRA,14.64,1
139,"ANDERSON, JEREMY",1205991692.0,OPTOMETRIST,ABBVIE INC.,FOOD AND BEVERAGE,OPHTHALMOLOGY,VUITY,14.48,1
140,"ANDERSON, JEREMY",1205991692.0,OPTOMETRIST,"OYSTER POINT PHARMA, INC.",FOOD AND BEVERAGE,DRY EYE,TYRVAYA,16.27,1
141,"ANDERSON, JOHN",1003303439.0,FAMILY MEDICINE,BAYER HEALTHCARE PHARMACEUTICALS INC.,FOOD AND BEVERAGE,CARDIO-RENAL,KERENDIA,41.09,3
142,"ANDERSON, JOHN",1003303439.0,FAMILY MEDICINE,"BOEHRINGER INGELHEIM PHARMACEUTICALS, INC.",FOOD AND BEVERAGE,RESPIRATORY,SPIRIVA RESPIMAT,13.47,1
143,"ANDERSON, JOHN",1003303439.0,FAMILY MEDICINE,"JANSSEN PHARMACEUTICALS, INC",FOOD AND BEVERAGE,CARDIOVASCULAR & METABOLISM,XARELTO,15.18,1
144,"ANDERSON, JOHN",1003303439.0,FAMILY MEDICINE,NOVARTIS PHARMACEUTICALS CORPORATION,FOOD AND BEVERAGE,CARDIOVASCULAR,ENTRESTO,13.3,1
